Category,Series Name,Series Code,Attribution
Health,"Comprehensive correct knowledge of HIV/AIDS, ages 15-24, female (2 prevent ways and reject 3 misconceptions)",SH.HIV.1524.KW.FE.ZS,0.000391741
Gender,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.000375943
Education,"Lower secondary completion rate, male (% of relevant age group)",SE.SEC.CMPT.LO.MA.ZS,0.000329156
Education,"Over-age students, primary, male (% of male enrollment)",SE.PRM.OENR.MA.ZS,0.000326674
Economy & Growth,Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,0.000326232
Health,"Probability of dying among youth ages 20-24 years, female (per 1,000)",SH.DYN.2024.FE,0.000325348
Health,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,0.000313486
Aid Effectiveness,"Net bilateral aid flows from DAC donors, Czech Republic (current US$)",DC.DAC.CZEL.CD,0.000311032
Private Sector,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,0.000284515
Economy & Growth,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,0.000274137
Gender,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,0.000272527
Health,Postnatal care coverage (% mothers),SH.STA.PNVC.ZS,0.000272014
Gender,"Children in employment, work only, male (% of male children in employment, ages 7-14)",SL.TLF.0714.WK.MA.ZS,0.000270208
Economy & Growth,"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,0.000264762
Environment,"People using at least basic drinking water services, urban (% of urban population)",SH.H2O.BASW.UR.ZS,0.000264061
Education,Lower secondary school starting age (years),SE.SEC.AGES,0.000248784
Social Development,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),per_lm_alllm.adq_pop_tot,0.00023506
Public Sector,Other expense (current LCU),GC.XPN.OTHR.CN,0.000210556
Aid Effectiveness,"Net official flows from UN agencies, UNWTO (current US$)",DT.NFL.UNWT.CD,0.000187671
Gender,"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.DO.MA.ZS,0.000174929
Economy & Growth,GDP: linked series (current LCU),NY.GDP.MKTP.CN.AD,0.000159455
Gender,"Population ages 75-79, female",SP.POP.7579.FE,0.000157645
Economy & Growth,Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,0.000151493
Education,Male primary school age children out-of-school (%),SE.LPV.PRIM.SD.MA,0.000133163
Economy & Growth,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,0.000129319
Poverty,Income share held by second 20%,SI.DST.02ND.20,0.000127076
Gender,"Age population, age 20, male, interpolated",SP.POP.AG20.MA.IN,0.000124983
Economy & Growth,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,0.000115583
Environment,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",EN.ATM.PM25.MC.T1.ZS,0.000113941
Environment,"People practicing open defecation, rural (% of rural population)",SH.STA.ODFC.RU.ZS,0.000110263
Financial Sector,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,0.000102806
Gender,"Population ages 80 and older, female (% of female population)",SP.POP.80UP.FE.5Y,7.91E-05
Aid Effectiveness,"Net official flows from UN agencies, UNPBF (current US$)",DT.NFL.UNPB.CD,7.79E-05
Economy & Growth,Final consumption expenditure (constant LCU),NE.CON.TOTL.KN,7.48E-05
Education,"Net ODA provided, total (% of GNI)",DC.ODA.TOTL.GN.ZS,7.18E-05
Public Sector,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,6.30E-05
Education,"Current education expenditure, secondary (% of total expenditure in secondary public institutions)",SE.XPD.CSEC.ZS,6.28E-05
Infrastructure,Liner shipping connectivity index (maximum value in 2004 = 100),IS.SHP.GCNW.XQ,4.48E-05
Private Sector,Export volume index (2015 = 100),TX.QTY.MRCH.XD.WD,4.19E-05
Education,"Net ODA provided, total (constant 2020 US$)",DC.ODA.TOTL.KD,3.81E-05
Gender,Lifetime risk of maternal death (1 in: rate varies by country),SH.MMR.RISK,1.78E-05
External Debt,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,1.54E-05
Education,"Secondary education, teachers",SE.SEC.TCHR,1.74E-06
Economy & Growth,"Travel services (% of service imports, BoP)",BM.GSR.TRVL.ZS,0
Health,"Prevalence of hypertension, male (% of male adults ages 30-79)",SH.HTN.PREV.MA.ZS,0
Health,"Population ages 60-64, female (% of female population)",SP.POP.6064.FE.5Y,-1.88E-06
Education,"School enrollment, secondary (% gross)",SE.SEC.ENRR,-8.14E-06
Economy & Growth,"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,-1.51E-05
Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,-1.58E-05
Environment,PFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.PFCG.KT.CE,-1.69E-05
Health,"Population ages 55-59, male (% of male population)",SP.POP.5559.MA.5Y,-1.82E-05
Education,"Primary education, pupils",SE.PRM.ENRL,-2.11E-05
Poverty,Multidimensional poverty intensity (average share of deprivations experienced by the poor),SI.POV.MDIM.IT,-2.22E-05
Education,"Secondary education, pupils",SE.SEC.ENRL,-2.43E-05
Private Sector,Import unit value index (2015 = 100),TM.UVI.MRCH.XD.WD,-2.65E-05
Education,"Children out of school, primary",SE.PRM.UNER,-2.96E-05
Public Sector,Goods and services expense (current LCU),GC.XPN.GSRV.CN,-3.02E-05
Health,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,-3.32E-05
Economy & Growth,Exports of goods and services (constant 2015 US$),NE.EXP.GNFS.KD,-3.58E-05
Health,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,-4.81E-05
Aid Effectiveness,Net ODA received (% of gross capital formation),DT.ODA.ODAT.GI.ZS,-4.84E-05
Economy & Growth,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,-5.45E-05
Education,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,-5.46E-05
Public Sector,Periodicity and timeliness assessment of statistical capacity (scale 0 - 100),IQ.SCI.PRDC,-5.56E-05
Economy & Growth,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,-7.03E-05
Gender,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,-9.48E-05
Health,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,-9.49E-05
Gender,"Age population, age 06, female, interpolated",SP.POP.AG06.FE.IN,-9.59E-05
Environment,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,-9.83E-05
Health,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,-9.95E-05
Public Sector,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,-0.000111835
Gender,"Population ages 80 and above, male",SP.POP.80UP.MA,-0.000122017
Aid Effectiveness,"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,-0.000123315
Health,"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,-0.000126926
Economy & Growth,"Secondary income receipts (BoP, current US$)",BX.TRF.CURR.CD,-0.000129907
Health,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,-0.000132074
Environment,"People with basic handwashing facilities including soap and water, urban (% of urban population)",SH.STA.HYGN.UR.ZS,-0.000138945
Aid Effectiveness,"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,-0.000144649
Public Sector,"Internally displaced persons, total displaced by conflict and violence (number of people)",VC.IDP.TOCV,-0.000155577
Health,"Population ages 50-54, male (% of male population)",SP.POP.5054.MA.5Y,-0.000162078
Gender,"Age population, age 16, male, interpolated",SP.POP.AG16.MA.IN,-0.000162084
Health,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,-0.000163798
Economy & Growth,External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,-0.000172993
Health,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,-0.000176957
Health,"Population ages 80 and above, female (% of female population)",SP.POP.80UP.FE.5Y,-0.000185205
Health,"Population ages 60-64, male (% of male population)",SP.POP.6064.MA.5Y,-0.000190212
Social Development,Coverage of social safety net programs in poorest quintile (% of population),per_sa_allsa.cov_q1_tot,-0.0001904
Health,"Population ages 55-59, female (% of female population)",SP.POP.5559.FE.5Y,-0.00019352
External Debt,"PPG, IBRD (DOD, current US$)",DT.DOD.MIBR.CD,-0.000194981
Gender,"Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",SL.EMP.WORK.MA.ZS,-0.000206513
Public Sector,"Human capital index (HCI), female, upper bound (scale 0-1)",HD.HCI.OVRL.UB.FE,-0.00022462
Health,"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,-0.000226871
Health,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,-0.000230979
Financial Sector,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,-0.000245258
Science & Technology,"Patent applications, nonresidents",IP.PAT.NRES,-0.000245997
Public Sector,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.0002582
Gender,"Self-employed, female (% of female employment) (modeled ILO estimate)",SL.EMP.SELF.FE.ZS,-0.000262043
Financial Sector,"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,-0.000273769
External Debt,"PNG, bonds (NFL, current US$)",DT.NFL.PNGB.CD,-0.000289399
Private Sector,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,-0.000302754
Economy & Growth,"Transport services (% of service exports, BoP)",BX.GSR.TRAN.ZS,-0.000306755
Social Development,"Children in employment, study and work (% of children in employment, ages 7-14)",SL.TLF.0714.SW.ZS,-0.000308873
Economy & Growth,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,-0.000316407
Gender,"Prevalence of underweight, weight for age, female (% of children under 5)",SH.STA.MALN.FE.ZS,-0.000317688
Social Development,Coverage of social safety net programs in 3rd quintile (% of population),per_sa_allsa.cov_q3_tot,-0.000337265
Health,"Prevalence of overweight (modeled estimate, % of children under 5)",SH.STA.OWGH.ME.ZS,-0.000354321
Economy & Growth,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,-0.000360589
Public Sector,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,-0.00036466
Poverty,Income share held by highest 20%,SI.DST.05TH.20,-0.00036611
Economy & Growth,GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,-0.000372097
Economy & Growth,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",NV.AGR.EMPL.KD,-0.000375067
Health,"Probability of dying among youth ages 20-24 years, male (per 1,000)",SH.DYN.2024.MA,-0.000387203
External Debt,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,-0.000391552
Economy & Growth,Net ODA provided to the least developed countries (% of GNI),DC.ODA.TLDC.GN.ZS,-0.000398013
Public Sector,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,-0.000402284
Financial Sector,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,-0.000402632
Health,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,-0.000404766
Health,Treatment for hypertension (% of adults ages 30-79 with hypertension),SH.HTN.TRET.ZS,-0.000409115
Gender,Ratio of young literate females to males (% ages 15-24),SE.ADT.1524.LT.FM.ZS,-0.000409134
Private Sector,Export value index (2015 = 100),TX.VAL.MRCH.XD.WD,-0.000418302
Education,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,-0.000421125
Financial Sector,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,-0.000442998
Financial Sector,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD,-0.000450126
Education,Learning poverty: Share of Male Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),SE.LPV.PRIM.MA,-0.000471184
Economy & Growth,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,-0.000472977
Health,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",SH.DYN.NCOM.ZS,-0.000473194
Social Development,Coverage of social safety net programs in 4th quintile (% of population),per_sa_allsa.cov_q4_tot,-0.000498404
Gender,"Population ages 45-49, female",SP.POP.4549.FE,-0.000505093
Gender,"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.DO.FE.ZS,-0.000506984
Private Sector,Transport services (% of commercial service imports),TM.VAL.TRAN.ZS.WT,-0.000511169
Science & Technology,Scientific and technical journal articles,IP.JRN.ARTC.SC,-0.000512787
Financial Sector,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,-0.000529165
Health,"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y,-0.000529415
Environment,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,-0.00053093
Economy & Growth,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,-0.000540049
Education,"Tertiary education, academic staff (% female)",SE.TER.TCHR.FE.ZS,-0.000566343
Health,"Population ages 30-34, female (% of female population)",SP.POP.3034.FE.5Y,-0.000579819
Urban Development,Population density (people per sq. km of land area),EN.POP.DNST,-0.000592462
Public Sector,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,-0.000593093
Health,"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,-0.000602453
Financial Sector,Wholesale price index (2010 = 100),FP.WPI.TOTL,-0.000607201
Environment,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,-0.000616735
Health,"Population ages 30-34, male (% of male population)",SP.POP.3034.MA.5Y,-0.000628839
Economy & Growth,Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,-0.000628872
Gender,"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.MS.FE.ZS,-0.000635219
Economy & Growth,Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN,-0.000642646
External Debt,"PPG, private creditors (NFL, US$)",DT.NFL.PRVT.CD,-0.000652351
Economy & Growth,Net secondary income (Net current transfers from abroad) (constant LCU),NY.TRF.NCTR.KN,-0.000664097
Economy & Growth,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,-0.000669225
Aid Effectiveness,"Net official flows from UN agencies, UNHCR (current US$)",DT.NFL.UNCR.CD,-0.000677849
Economy & Growth,Net primary income (Net income from abroad) (constant LCU),NY.GSR.NFCY.KN,-0.000683666
Health,"Prevalence of wasting, weight for height, female (% of children under 5)",SH.STA.WAST.FE.ZS,-0.000695371
Public Sector,Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,-0.000697229
Private Sector,Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS,-0.00069942
Social Development,"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,-0.000699718
Energy & Mining,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,-0.000701093
Education,"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",SE.XPD.CTER.ZS,-0.000701779
Gender,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,-0.000706573
External Debt,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,-0.000717852
Economy & Growth,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,-0.000719183
Environment,HFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.HFCG.KT.CE,-0.000719933
Health,"Population ages 75-79, female (% of female population)",SP.POP.7579.FE.5Y,-0.000731341
Environment,GHG net emissions/removals by LUCF (Mt of CO2 equivalent),EN.CLC.GHGR.MT.CE,-0.000744055
Gender,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)",SG.DMK.SRCR.FN.ZS,-0.000744771
Financial Sector,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,-0.000755859
Energy & Mining,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,-0.000765408
Public Sector,"Human capital index (HCI), female (scale 0-1)",HD.HCI.OVRL.FE,-0.00076934
Education,"Preprimary education, duration (years)",SE.PRE.DURS,-0.000769417
Education,"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,-0.000774607
Aid Effectiveness,"Net official flows from UN agencies, UNIDIR (current US$)",DT.NFL.UNID.CD,-0.000778382
Social Development,"Children in employment, self-employed, male (% of male children in employment, ages 7-14)",SL.SLF.0714.MA.ZS,-0.000783073
Private Sector,Informal payments to public officials (% of firms),IC.FRM.CORR.ZS,-0.00079466
Private Sector,"Time required to start a business, female (days)",IC.REG.DURS.FE,-0.000796285
Social Development,Coverage of unemployment benefits and ALMP in richest quintile (% of population),per_lm_alllm.cov_q5_tot,-0.000815856
Economy & Growth,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,-0.000823154
Economy & Growth,Textiles and clothing (% of value added in manufacturing),NV.MNF.TXTL.ZS.UN,-0.000836234
Economy & Growth,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,-0.000851874
Economy & Growth,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,-0.00086457
Social Development,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.MA.ZS,-0.000869916
Private Sector,Time spent dealing with the requirements of government regulations (% of senior management time),IC.GOV.DURS.ZS,-0.000884753
External Debt,"Net financial flows, RDB nonconcessional (NFL, current US$)",DT.NFL.RDBN.CD,-0.0008868
Gender,"Secondary education, teachers (% female)",SE.SEC.TCHR.FE.ZS,-0.000887086
Education,Number of deaths ages 10-14 years,SH.DTH.1014,-0.000887322
Environment,Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD,-0.000895638
Economy & Growth,GNI: linked series (current LCU),NY.GNP.MKTP.CN.AD,-0.000903968
Financial Sector,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,-0.00090407
Energy & Mining,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,-0.000906583
Gender,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,-0.000906815
Public Sector,CPIA equity of public resource use rating (1=low to 6=high),IQ.CPA.PRES.XQ,-0.000906942
Public Sector,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,-0.000910085
Gender,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,-0.000915109
Private Sector,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,-0.000923182
Gender,"Part time employment, male (% of total male employment)",SL.TLF.PART.MA.ZS,-0.000925881
Health,"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5,-0.000929908
Economy & Growth,"Travel services (% of service exports, BoP)",BX.GSR.TRVL.ZS,-0.000930135
Health,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,-0.000930178
Economy & Growth,GNI per capita (current LCU),NY.GNP.PCAP.CN,-0.000930709
Health,"Number of under-five deaths, male",SH.DTH.MORT.MA,-0.000934517
Aid Effectiveness,"Net official flows from UN agencies, WHO (current US$)",DT.NFL.WHOL.CD,-0.000937789
Environment,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,-0.000941939
Health,Children orphaned by HIV/AIDS,SH.HIV.ORPH,-0.00095144
Social Development,Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,-0.001008373
Private Sector,"International tourism, number of departures",ST.INT.DPRT,-0.001016897
Health,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,-0.001022402
Aid Effectiveness,"Net official flows from UN agencies, UNECE (current US$)",DT.NFL.UNEC.CD,-0.001025206
Health,Tuberculosis treatment success rate (% of new cases),SH.TBS.CURE.ZS,-0.001038873
Economy & Growth,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,-0.001048556
Economy & Growth,Demand for family planning satisfied by any methods (% of married women with demand for family planning),SH.FPL.SATI.ZS,-0.001051786
External Debt,"PPG, bonds (NFL, current US$)",DT.NFL.PBND.CD,-0.001058129
Economy & Growth,Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN,-0.001064754
Energy & Mining,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,-0.001072594
Public Sector,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,-0.001080764
Health,"Population ages 15-19, female (% of female population)",SP.POP.1519.FE.5Y,-0.001081138
Energy & Mining,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,-0.00108343
Public Sector,"Human capital index (HCI), upper bound (scale 0-1)",HD.HCI.OVRL.UB,-0.001087986
Economy & Growth,Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,-0.001089227
Social Development,"Labor force with basic education, female (% of female working-age population with basic education)",SL.TLF.BASC.FE.ZS,-0.001095711
Economy & Growth,"Agriculture, forestry, and fishing, value added (constant 2015 US$)",NV.AGR.TOTL.KD,-0.001100864
Health,"Population ages 45-49, female (% of female population)",SP.POP.4549.FE.5Y,-0.001107223
Education,"School enrollment, tertiary (% gross)",SE.TER.ENRR,-0.001117663
Gender,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,-0.001117724
Energy & Mining,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,-0.001118591
Economy & Growth,Gross capital formation (constant 2015 US$),NE.GDI.TOTL.KD,-0.001128168
Energy & Mining,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,-0.001129561
Environment,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,-0.001138968
Social Development,"Employment to population ratio, ages 15-24, male (%) (national estimate)",SL.EMP.1524.SP.MA.NE.ZS,-0.001153479
Private Sector,Time required to build a warehouse (days),IC.WRH.DURS,-0.001166493
Social Development,Coverage of unemployment benefits and ALMP in 4th quintile (% of population),per_lm_alllm.cov_q4_tot,-0.001169549
Financial Sector,"Depositors with commercial banks (per 1,000 adults)",FB.CBK.DPTR.P3,-0.00117076
Public Sector,Interest payments (% of revenue),GC.XPN.INTP.RV.ZS,-0.001171482
Environment,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,-0.001188534
Social Development,Coverage of social insurance programs (% of population),per_si_allsi.cov_pop_tot,-0.001189581
Gender,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,-0.001199472
Gender,"Children in employment, study and work, female (% of female children in employment, ages 7-14)",SL.TLF.0714.SW.FE.ZS,-0.001222294
Gender,"Children in employment, study and work, male (% of male children in employment, ages 7-14)",SL.TLF.0714.SW.MA.ZS,-0.001223404
Public Sector,Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,-0.00122753
Environment,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total)",EN.ATM.PM25.MC.T2.ZS,-0.001232054
External Debt,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,-0.001237885
Aid Effectiveness,"Net official flows from UN agencies, UNFPA (current US$)",DT.NFL.UNFP.CD,-0.00124433
Energy & Mining,Time to obtain an electrical connection (days),IC.ELC.DURS,-0.001249182
Economy & Growth,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,-0.001254834
Environment,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,-0.001259142
Health,"Population ages 15-19, male (% of male population)",SP.POP.1519.MA.5Y,-0.001261956
Health,Newborns protected against tetanus (%),SH.VAC.TTNS.ZS,-0.001262725
Public Sector,Taxes on goods and services (% value added of industry and services),GC.TAX.GSRV.VA.ZS,-0.001267978
Health,Prevalence of overweight (% of adults),SH.STA.OWAD.ZS,-0.001294533
Health,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,-0.001299752
Social Development,Coverage of unemployment benefits and ALMP in poorest quintile (% of population),per_lm_alllm.cov_q1_tot,-0.001305129
Energy & Mining,Ores and metals imports (% of merchandise imports),TM.VAL.MMTL.ZS.UN,-0.001317582
Social Development,Coverage of social safety net programs (% of population),per_sa_allsa.cov_pop_tot,-0.001322116
Economy & Growth,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,-0.001324728
Economy & Growth,Exports of goods and services (current US$),NE.EXP.GNFS.CD,-0.001326263
Environment,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,-0.001328415
Gender,"Prevalence of HIV, female (% ages 15-24)",SH.HIV.1524.FE.ZS,-0.001334849
Social Development,"Children in employment, total (% of children ages 7-14)",SL.TLF.0714.ZS,-0.001335685
Social Development,Coverage of social insurance programs in 4th quintile (% of population),per_si_allsi.cov_q4_tot,-0.001338581
Economy & Growth,Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG,-0.00133859
Social Development,"Children in employment, unpaid family workers (% of children in employment, ages 7-14)",SL.FAM.0714.ZS,-0.001342709
Financial Sector,DEC alternative conversion factor (LCU per US$),PA.NUS.ATLS,-0.001352432
Private Sector,Number of visits or required meetings with tax officials (average for affected firms),IC.TAX.METG,-0.001364009
Public Sector,CPIA social protection rating (1=low to 6=high),IQ.CPA.PROT.XQ,-0.001364303
Gender,"Child employment in services, male (% of male economically active children ages 7-14)",SL.SRV.0714.MA.ZS,-0.001370735
Economy & Growth,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,-0.001377566
Private Sector,"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,-0.001379521
Education,Number of deaths ages 20-24 years,SH.DTH.2024,-0.00138876
Environment,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,-0.001390474
Gender,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,-0.001392726
Education,"School enrollment, secondary, private (% of total secondary)",SE.SEC.PRIV.ZS,-0.0013934
External Debt,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,-0.001394397
Gender,"Child employment in agriculture, male (% of male economically active children ages 7-14)",SL.AGR.0714.MA.ZS,-0.00140292
Environment,"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,-0.001422654
Health,Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,-0.001431073
Private Sector,"Cost to import, documentary compliance (US$)",IC.IMP.CSDC.CD,-0.00144161
Health,"Prevalence of overweight, female (% of female adults)",SH.STA.OWAD.FE.ZS,-0.001452313
External Debt,"PNG, commercial banks and other creditors (NFL, current US$)",DT.NFL.PNGC.CD,-0.001460487
Gender,"Children in employment, male (% of male children ages 7-14)",SL.TLF.0714.MA.ZS,-0.001468541
Education,"Lower secondary completion rate, female (% of relevant age group)",SE.SEC.CMPT.LO.FE.ZS,-0.001473038
Social Development,Coverage of social insurance programs in 3rd quintile (% of population),per_si_allsi.cov_q3_tot,-0.00147719
Gender,"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,-0.00150006
Gender,"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,-0.001511666
