Series Name,Year,value
"Child employment in manufacturing, male (% of male economically active children ages 7-14)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],5192
Child employment in services (% of economically active children ages 7-14),2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],5198
"Child employment in services, female (% of female economically active children ages 7-14)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],5191
"Child employment in services, male (% of male economically active children ages 7-14)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],5191
Children (0-14) living with HIV,2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],3398
Children (ages 0-14) newly infected with HIV,2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],3475
"Children in employment, female (% of female children ages 7-14)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],5090
"Children in employment, male (% of male children ages 7-14)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],5090
"Children in employment, self-employed (% of children in employment, ages 7-14)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],5228
"Children in employment, self-employed, female (% of female children in employment, ages 7-14)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],5228
"Children in employment, self-employed, male (% of male children in employment, ages 7-14)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],5228
"Children in employment, study and work (% of children in employment, ages 7-14)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],5090
"Children in employment, study and work, female (% of female children in employment, ages 7-14)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],5181
"Children in employment, study and work, male (% of male children in employment, ages 7-14)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],5181
"Children in employment, total (% of children ages 7-14)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],5090
"Children in employment, unpaid family workers (% of children in employment, ages 7-14)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],5164
"Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],5164
"Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],5164
"Children in employment, wage workers (% of children in employment, ages 7-14)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],5165
"Children in employment, wage workers, female (% of female children in employment, ages 7-14)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],5165
"Children in employment, wage workers, male (% of male children in employment, ages 7-14)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],5165
"Children in employment, work only (% of children in employment, ages 7-14)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],5089
"Children in employment, work only, female (% of female children in employment, ages 7-14)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],5181
"Children in employment, work only, male (% of male children in employment, ages 7-14)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],5181
Children orphaned by HIV/AIDS,2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],3421
Children out of school (% of primary school age),2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],2683
"Children out of school, female (% of female primary school age)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],3402
"Children out of school, male (% of male primary school age)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],3402
"Children out of school, primary",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],2754
"Children out of school, primary, female",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],3400
"Children out of school, primary, male",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],3401
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],5113
Claims on central government (annual growth as % of broad money),2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],2208
"Claims on central government, etc. (% GDP)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],888
Claims on other sectors of the domestic economy (% of GDP),2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],4567
Claims on other sectors of the domestic economy (annual growth as % of broad money),2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],2611
Claims on private sector (annual growth as % of broad money),2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],2215
Coal rents (% of GDP),2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],709
Combustible renewables and waste (% of total energy),2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],3022
"Commercial bank branches (per 100,000 adults)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],1332
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],3346
Commercial service exports (current US$),2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],810
Commercial service imports (current US$),2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],795
"Communications, computer, etc. (% of service exports, BoP)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],901
"Communications, computer, etc. (% of service imports, BoP)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],877
"Community health workers (per 1,000 people)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],5189
Compensation of employees (% of expense),2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],2369
Compensation of employees (current LCU),2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],2991
Completeness of birth registration (%),2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],4735
"Completeness of birth registration, female (%)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],5062
"Completeness of birth registration, male (%)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],5062
"Completeness of birth registration, rural (%)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],4971
"Completeness of birth registration, urban (%)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],4971
Completeness of death registration with cause-of-death information (%),2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],4995
"Comprehensive correct knowledge of HIV/AIDS, ages 15-24, female (2 prevent ways and reject 3 misconceptions)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],4978
"Comprehensive correct knowledge of HIV/AIDS, ages 15-24, male (2 prevent ways and reject 3 misconceptions)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],5088
"Comprehensive correct knowledge of HIV/AIDS, ages 15-49, female (2 prevent ways and reject 3 misconceptions)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],5011
"Comprehensive correct knowledge of HIV/AIDS, ages 15-49, male (2 prevent ways and reject 3 misconceptions)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],5120
"Compulsory education, duration (years)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],597
"Computer, communications and other services (% of commercial service exports)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],896
"Computer, communications and other services (% of commercial service imports)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],867
"Condom use at last high-risk sex, adult female (% ages 15-49)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],5179
"Condom use at last high-risk sex, adult male (% ages 15-49)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],5184
"Condom use, population ages 15-24, female (% of females ages 15-24)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],5198
"Condom use, population ages 15-24, male (% of males ages 15-24)",2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],5213
Consumer price index (2010 = 100),2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],1685
Consumption of iodized salt (% of households),2003 [YR2003]2004 [YR2004]2005 [YR2005]2006 [YR2006]2007 [YR2007]2008 [YR2008]2009 [YR2009]2010 [YR2010]2011 [YR2011]2012 [YR2012]2013 [YR2013]2014 [YR2014]2015 [YR2015]2016 [YR2016]2017 [YR2017]2018 [YR2018]2019 [YR2019]2020 [YR2020]2021 [YR2021]2022 [YR2022],5061
